Customer ID,churn_probability,at_risk_rule_bucket,cycle_risk_score,recency_vs_expected_gap,rfm_segment,customer_value_score,last_product,last_category,funnel_products,intervention_priority,winback_action
14827,1.0,At Risk,0.5,20.133333333333333,Lost,0.1578,This is a test product.,TEST001," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
12382,1.0,At Risk,0.5,20.7,Lost,0.1578,Unknown Product,," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
14613,1.0,At Risk,0.5,20.633333333333333,Lost,0.1578,ANTIQUE SILVER TEA GLASS ENGRAVED,84947," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
15487,1.0,At Risk,0.5,20.633333333333333,Lost,0.1578,SPOTTY  HOME SWEET HOME DOORMAT,21524," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
14274,1.0,At Risk,0.5,20.833333333333332,Lost,0.1578,GARLAND WOODEN HAPPY EASTER,22241," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
15383,1.0,At Risk,0.5,20.7,Lost,0.1578,Unknown Product,," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
15357,1.0,At Risk,0.5,20.7,Lost,0.1578,Unknown Product,," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
15293,1.0,At Risk,0.5,20.166666666666668,Lost,0.1578,BLUE SPOTTY BOWL,20675," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
14545,1.0,At Risk,0.5,20.433333333333334,Lost,0.1578,DOOR MAT FAIRY CAKE,48185," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
12396,1.0,At Risk,0.5,20.433333333333334,Lost,0.1578,SET OF 72 RETRO SPOT PAPER  DOILIES,21210," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
13553,1.0,At Risk,0.5,20.466666666666665,Lost,0.1578,BEWARE OF THE CAT METAL SIGN ,21165," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
16051,1.0,At Risk,0.5,20.7,Lost,0.1578,FLOWER FAIRY POTPOURRI CUSHION LILY,72754A," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
15765,1.0,At Risk,0.5,20.2,Lost,0.1578,CERAMIC CAKE STAND + HANGING CAKES,37449," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
14072,1.0,At Risk,0.5,20.2,Lost,0.1578,WOOD 2 DRAWER CABINET WHITE FINISH,82483," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
15693,1.0,At Risk,0.5,19.933333333333334,Lost,0.1578,SET/10 IVORY SPOTTY PARTY CANDLES,21123," DOLLY GIRL BEAKER, 10 COLOUR SPACEBOY PEN, 12 COLOURED PARTY BALLOONS, 12 IVORY ROSE PEG PLACE SETTINGS, 12 MINI TOADSTOOL PEGS",P1 - Urgent Win-back,Email chăm sóc + voucher mạnh + nhắc đúng chu kỳ mua
