Customer ID,snapshot_date,recency_days,frequency_90d,monetary_90d,avg_order_value_90d,return_rate_90d,tenure_days,n_unique_days,avg_days_between_orders,day_of_week_mode,recency_velocity,churn_label,purchase_intensity,loyalty_score,retention_score,customer_value_score,churn_risk_index,rfm_segment,cycle_median_gap_days,cycle_mean_gap_days,cycle_std_gap_days,cycle_cv,orders_last30d,orders_prev60d,spend_last30d,spend_prev60d,order_rate_ratio,spend_rate_ratio,frequency_momentum,spend_momentum,expected_cycle_days,recency_vs_expected_gap,days_past_expected_gap,cycle_break_flag,cycle_risk_score,at_risk_rule_score,at_risk_rule_bucket,churn_probability,churn_predicted,total_units_90d,avg_units_per_line_90d,distinct_products_90d,distinct_invoices_90d,latest_country,avg_units_per_invoice_90d,max_units_per_invoice_90d,customer_model,behavior_segment
12346,2011-10-10 12:50:00,265,0,0.0,0.0,0.0,665,11,8.543478260869565,0,0.39849624060150374,1,0.0,0.477,0.6015,0.1578,0.7475,Hibernating,17.0,57.142857142857146,70.3794380918351,1.2316401666071142,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,15.588235294117647,248.0,1,0.5,4,At Risk,0.6084,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,At Risk / Churned
12347,2011-10-10 12:50:00,69,22,584.91,26.58681818181818,0.0,343,6,1.6687116564417177,1,0.20116618075801748,0,0.0641399416909621,0.4254,0.7988,0.1647,0.6265,Loyal,54.0,55.0,11.575836902790225,0.2104697618689132,0.0,1.0,0.0,584.91,0.5,0.003407677497401646,-0.5,-292.455,54.0,1.2777777777777777,15.0,0,0.4884,3,Watchlist,0.2645,1,277.0,12.590909090909092,22.0,1.0,Iceland,277.0,277.0,B2C / Consumer-like,Explorer / Cross-sell Ready
12348,2011-10-10 12:50:00,14,3,310.0,103.33333333333333,0.0,377,5,7.24,0,0.03713527851458886,1,0.007957559681697613,0.4612,0.9629,0.163,0.5982,Loyal,75.0,90.75,49.71606883091221,0.5478354692111538,1.0,0.0,310.0,0.0,3.0,311.0,1.0,310.0,75.0,0.18666666666666668,-61.0,0,0.0373,0,Low Risk,0.5645,1,217.0,72.33333333333333,3.0,1.0,Finland,217.0,217.0,B2C / Consumer-like,Core Active
12349,2011-10-10 12:50:00,347,0,0.0,0.0,0.0,675,4,3.0754716981132075,3,0.5140740740740741,0,0.0,0.4451,0.4859,0.1578,0.7959,Lost,91.0,91.0,72.0,0.7912087912087912,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,91.0,3.8131868131868134,256.0,1,0.5,4,At Risk,0.6333,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,At Risk / Churned
12350,2011-10-10 12:50:00,249,0,0.0,0.0,0.0,249,1,0.0,2,1.0,1,0.0,0.3,0.0,0.1578,0.7381,Hibernating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,8.3,219.0,1,0.5,4,At Risk,0.8952,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,One-time / Occasional
12351,2011-10-10 12:50:00,314,0,0.0,0.0,0.0,314,1,0.0,0,1.0,1,0.0,0.3,0.0,0.1578,0.7764,Hibernating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,10.466666666666667,284.0,1,0.5,4,At Risk,0.7661,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,One-time / Occasional
12352,2011-10-10 12:50:00,11,32,632.5,19.765625,0.0,332,8,3.2783505154639174,1,0.03313253012048193,0,0.0963855421686747,0.448,0.9669,0.1661,0.5904,Champions,16.0,45.714285714285715,60.402730036964115,1.32130971955859,2.0,0.0,632.5,0.0,5.0,633.5,2.0,632.5,16.0,0.6875,-5.0,0,0.1375,0,Low Risk,0.2032,1,155.0,4.84375,27.0,2.0,Norway,77.5,103.0,B2C / Consumer-like,Explorer / Cross-sell Ready
12353,2011-10-10 12:50:00,143,0,0.0,0.0,0.0,348,2,8.869565217391305,2,0.4109195402298851,1,0.0,0.3907,0.5891,0.1578,0.6755,Potential Loyalist,204.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,204.0,0.7009803921568627,-61.0,0,0.1402,2,Watchlist,0.7643,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,Core Active
12354,2011-10-10 12:50:00,171,0,0.0,0.0,0.0,171,1,0.0,3,1.0,1,0.0,0.3,0.0,0.1578,0.692,Hibernating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,5.7,141.0,1,0.5,4,At Risk,0.8591,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,One-time / Occasional
12355,2011-10-10 12:50:00,153,0,0.0,0.0,0.0,507,2,10.382352941176471,4,0.30177514792899407,1,0.0,0.4566,0.6982,0.1578,0.6814,Hibernating,353.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,353.0,0.43342776203966005,-200.0,0,0.0867,2,Watchlist,0.8106,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,At Risk / Churned
12356,2011-10-10 12:50:00,185,0,0.0,0.0,0.0,364,5,1.2733812949640289,0,0.5082417582417582,0,0.0,0.3792,0.4918,0.1578,0.7003,Hibernating,43.0,44.75,25.222757581200355,0.5636370409206783,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.0,4.3023255813953485,142.0,1,0.5,4,At Risk,0.4718,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,At Risk / Churned
12357,2011-10-10 12:50:00,327,0,0.0,0.0,0.0,328,1,0.0,1,0.9969512195121951,0,0.0,0.3004,0.003,0.1578,0.7841,Hibernating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,10.9,297.0,1,0.5,4,At Risk,0.6884,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,One-time / Occasional
12358,2011-10-10 12:50:00,90,0,0.0,0.0,0.0,671,4,8.391304347826088,0,0.13412816691505217,0,0.0,0.5571,0.8659,0.1578,0.6443,Potential Loyalist,181.0,193.66666666666666,22.29100466306732,0.1150998519607607,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,181.0,0.4972375690607735,-91.0,0,0.0994,2,Watchlist,0.5975,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,Core Active
12359,2011-10-10 12:50:00,129,0,0.0,0.0,0.0,673,11,2.0377358490566038,0,0.19167904903417535,0,0.0,0.5407,0.8083,0.1578,0.6673,Potential Loyalist,86.5,68.125,40.7597764346175,0.5983086449118165,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.5,1.4913294797687862,42.5,0,0.2983,3,Watchlist,0.2542,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,Core Active
12360,2011-10-10 12:50:00,52,30,534.7,17.823333333333334,0.0,595,7,3.312883435582822,4,0.08739495798319327,0,0.05042016806722689,0.5459,0.9126,0.1653,0.6151,Loyal,75.0,90.5,64.28776451757105,0.7103620388681884,0.0,1.0,0.0,534.7,0.5,0.003726476616359232,-0.5,-267.35,75.0,0.6933333333333334,-23.0,0,0.3715,2,Watchlist,0.4855,1,240.0,8.0,30.0,1.0,Austria,240.0,240.0,B2C / Consumer-like,Explorer / Cross-sell Ready
12361,2011-10-10 12:50:00,226,0,0.0,0.0,0.0,621,4,14.035714285714286,4,0.3639291465378422,1,0.0,0.4748,0.6361,0.1578,0.7245,Hibernating,117.0,131.66666666666666,31.16978594016256,0.2367325514442726,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,117.0,1.9316239316239316,109.0,1,0.3863,4,At Risk,0.6783,1,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,B2C / Consumer-like,At Risk / Churned
12362,2011-10-10 12:50:00,12,73,1281.34,17.552602739726026,0.0410958904109589,678,8,4.426666666666667,3,0.017699115044247787,0,0.10766961651917405,0.6084,0.9419,0.1752,0.5819,Champions,70.0,133.2,155.4778440807564,1.1672510816873605,1.0,1.0,829.99,469.25,1.5,3.5267480106100795,0.5,595.365,70.0,0.17142857142857143,-58.0,0,0.0343,0,Low Risk,0.3159,1,607.0,8.67142857142857,67.0,2.0,Belgium,303.5,340.0,B2B / Account-like,Key Account / Strategic
